,player_id,Name,Season,Age,50th_max_velo,P/PA,Team,K%,BB%,Brls/BBE%,HardHit%,Spd,LD%,GB%,FB%,HR/FB%,IFH%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,SwStr%,BsR,Pull%,Oppo%,LA,HR,SB,Cluster
0,518934,DJ LeMahieu,2023,34,100.3,4.01,NYY,22.2,10.7,5.9,43.1,3.0,19.0,55.0,26.0,15.5,3.9,25.9,55.9,39.2,70.3,89.8,6.8,-4.4,34.5,28.1,3.8,15,2,10
1,677594,Julio Rodríguez,2023,22,104.1,3.52,SEA,24.5,6.6,11.9,52.0,6.0,18.5,47.6,33.9,19.6,12.7,41.0,73.0,53.8,58.9,85.1,14.4,5.2,42.0,23.7,8.5,32,37,4
2,543807,George Springer III,2023,33,100.3,3.7,TOR,18.3,8.8,7.7,39.4,4.6,20.4,44.2,35.4,12.1,6.9,27.5,76.1,49.2,63.4,87.4,9.8,-0.4,39.5,24.4,12.0,21,20,7
3,593428,Xander Bogaerts,2023,30,98.5,3.98,SDP,16.5,8.4,6.1,34.4,5.2,16.7,50.4,32.9,11.7,12.1,28.6,60.3,42.6,68.6,88.3,8.1,0.9,40.2,28.3,7.9,19,19,10
4,663728,Cal Raleigh,2023,26,101.0,4.11,SEA,27.8,9.5,12.6,40.7,2.1,19.9,31.5,48.6,17.3,8.9,34.5,72.5,49.7,59.6,80.6,14.0,-2.2,51.1,19.9,20.3,30,0,3
5,669257,Will Smith,2023,28,99.6,4.14,LAD,16.1,11.4,6.7,41.3,4.0,18.9,37.2,43.9,11.2,9.0,28.4,70.2,45.7,77.1,86.1,7.8,-1.1,37.7,27.9,15.6,19,3,6
6,553993,Eugenio Suárez,2023,31,100.7,4.18,SEA,30.8,10.1,12.7,43.0,1.9,22.8,33.9,43.3,12.9,6.7,26.4,68.5,44.5,50.8,80.4,13.2,-2.5,46.8,20.0,18.9,22,2,9
7,663538,Nico Hoerner,2023,26,97.3,3.69,CHC,12.1,7.1,1.7,33.0,6.8,19.1,46.9,34.1,4.9,7.9,33.5,61.3,45.4,80.7,94.7,5.1,6.8,31.6,28.8,10.5,9,43,5
8,671213,Triston Casas,2023,23,102.6,4.11,BOS,25.1,13.9,13.1,46.2,2.2,21.0,36.7,42.3,18.6,4.5,26.0,68.6,43.6,64.3,80.3,11.0,-3.0,38.7,20.7,15.7,24,0,9
9,621020,Dansby Swanson,2023,29,99.8,4.01,CHC,24.1,10.3,10.9,39.5,4.8,20.3,44.6,35.1,15.2,9.8,28.4,73.3,47.4,61.3,79.3,12.7,2.3,46.0,18.4,13.0,22,9,7
10,630105,Jake Cronenworth,2023,29,97.7,3.95,SDP,18.6,8.8,4.4,33.2,5.8,22.2,37.2,40.6,6.8,8.2,31.0,67.3,47.3,74.9,93.1,6.4,2.4,36.2,26.7,15.0,10,6,10
11,660670,Ronald Acuña Jr.,2023,25,106.4,3.79,ATL,11.4,10.9,15.3,55.0,7.3,20.1,49.5,30.4,24.0,8.3,26.8,72.8,46.2,73.8,87.8,7.8,8.8,39.7,24.7,7.4,41,73,7
12,593160,Whit Merrifield,2023,34,94.9,3.72,TOR,17.1,6.1,2.4,24.1,4.5,22.2,40.4,37.5,6.5,9.3,36.4,70.2,50.9,74.1,87.7,9.1,1.3,34.3,27.9,14.4,11,26,10
13,592663,J.T. Realmuto,2023,32,101.3,3.88,PHI,25.6,6.5,11.2,42.7,6.4,19.9,37.6,42.4,13.2,10.4,34.1,72.0,50.3,63.8,83.4,12.2,-0.4,43.3,23.9,16.6,20,16,7
14,623993,Anthony Santander,2023,28,101.7,4.21,BAL,23.2,8.4,10.2,46.1,3.5,15.3,35.0,49.7,12.7,4.5,37.7,67.8,49.1,70.8,85.9,10.4,-0.7,46.1,21.2,20.2,28,5,9
15,662139,Daulton Varsho,2023,26,99.9,3.98,TOR,23.2,7.7,7.3,36.0,5.4,20.3,32.5,47.2,11.2,5.7,32.4,71.1,49.4,64.1,87.1,10.5,2.3,50.8,23.0,20.5,20,16,6
16,642708,Amed Rosario,2023,27,99.5,3.63,- - -,18.2,5.3,3.4,39.4,7.3,20.8,47.8,31.4,4.6,9.6,42.9,69.9,53.4,68.5,88.1,11.4,0.6,32.9,27.5,7.6,6,15,2
17,592696,Eddie Rosario,2023,31,98.6,3.7,ATL,23.6,6.6,9.5,35.1,3.7,22.1,40.1,37.8,15.6,6.3,45.9,74.3,57.1,64.5,79.8,15.7,-1.9,44.3,19.8,14.5,21,3,4
18,606466,Ketel Marte,2023,29,101.6,3.82,ARI,16.8,10.9,8.0,42.8,5.8,19.0,44.8,36.2,14.9,7.7,27.7,70.1,45.4,67.0,89.0,8.5,0.0,44.1,21.5,10.7,25,8,6
19,679529,Spencer Torkelson,2023,23,102.7,4.11,DET,25.0,9.8,14.1,50.5,3.3,18.6,34.5,46.8,15.0,7.9,27.7,70.2,46.3,62.1,85.5,10.3,0.1,47.7,23.9,17.1,31,3,9
